j,var1,var2,y1,y2,f
1,1,2,-4.0,-4.0,5.899529650673748e-6
1,1,2,-3.9191919191919196,-4.0,6.200737642884477e-6
1,1,2,-3.8383838383838382,-4.0,6.512758092646978e-6
1,1,2,-3.757575757575758,-4.0,6.843205875265727e-6
1,1,2,-3.6767676767676765,-4.0,7.202848670204952e-6
1,1,2,-3.595959595959596,-4.0,7.605426923161526e-6
1,1,2,-3.5151515151515156,-4.0,8.06768676869591e-6
1,1,2,-3.4343434343434343,-4.0,8.609825638150064e-6
1,1,2,-3.353535353535354,-4.0,9.256199517217132e-6
1,1,2,-3.2727272727272725,-4.0,1.0035529490448765e-5
1,1,2,-3.191919191919192,-4.0,1.0979196202734596e-5
1,1,2,-3.1111111111111107,-4.0,1.2116150491565819e-5
1,1,2,-3.0303030303030303,-4.0,1.346429200919175e-5
1,1,2,-2.94949494949495,-4.0,1.502093425903901e-5
1,1,2,-2.8686868686868685,-4.0,1.6757558147000226e-5
1,1,2,-2.787878787878788,-4.0,1.8623671363375945e-5
1,1,2,-2.7070707070707067,-4.0,2.0559904370086086e-5
1,1,2,-2.6262626262626263,-4.0,2.2514080782225234e-5
1,1,2,-2.545454545454545,-4.0,2.445122499708962e-5
1,1,2,-2.4646464646464645,-4.0,2.6352400678599404e-5
1,1,2,-2.383838383838384,-4.0,2.8205092021811888e-5
1,1,2,-2.3030303030303028,-4.0,2.9993131923924132e-5
1,1,2,-2.2222222222222223,-4.0,3.1693097954866464e-5
1,1,2,-2.141414141414142,-4.0,3.327853745422952e-5
1,1,2,-2.0606060606060606,-4.0,3.4728184466872675e-5
1,1,2,-1.9797979797979794,-4.0,3.603251827075525e-5
1,1,2,-1.8989898989898988,-4.0,3.719432851887547e-5
1,1,2,-1.8181818181818183,-4.0,3.822185043778495e-5
1,1,2,-1.7373737373737372,-4.0,3.911653258975438e-5
1,1,2,-1.6565656565656566,-4.0,3.986083981474481e-5
1,1,2,-1.575757575757576,-4.0,4.0413108206400885e-5
1,1,2,-1.4949494949494948,-4.0,4.0714524054591325e-5
1,1,2,-1.4141414141414137,-4.0,4.070770040584021e-5
1,1,2,-1.3333333333333337,-4.0,4.035985384770519e-5
1,1,2,-1.2525252525252526,-4.0,3.968038575005791e-5
1,1,2,-1.1717171717171715,-4.0,3.872506418337606e-5
1,1,2,-1.0909090909090908,-4.0,3.7585507650247265e-5
1,1,2,-1.0101010101010102,-4.0,3.636916771148001e-5
1,1,2,-0.9292929292929293,-4.0,3.5177918222577616e-5
1,1,2,-0.8484848484848486,-4.0,3.409199527742418e-5
1,1,2,-0.767676767676768,-4.0,3.3162319585515114e-5
1,1,2,-0.6868686868686869,-4.0,3.24106543416158e-5
1,1,2,-0.6060606060606057,-4.0,3.183493893491429e-5
1,1,2,-0.5252525252525251,-4.0,3.141652607984359e-5
1,1,2,-0.44444444444444464,-4.0,3.1126565413448917e-5
1,1,2,-0.36363636363636354,-4.0,3.0930245366236515e-5
1,1,2,-0.2828282828282829,-4.0,3.078963406971708e-5
