j,var1,var2,y1,y2,f
1,1,2,-4.0,-4.0,1.5006827080536313e-5
1,1,2,-3.9191919191919196,-4.0,1.600672631649205e-5
1,1,2,-3.8383838383838382,-4.0,1.7094964771483056e-5
1,1,2,-3.757575757575758,-4.0,1.828545999238791e-5
1,1,2,-3.6767676767676765,-4.0,1.9593196843780225e-5
1,1,2,-3.595959595959596,-4.0,2.1033987707681265e-5
1,1,2,-3.5151515151515156,-4.0,2.2624395185329853e-5
1,1,2,-3.4343434343434343,-4.0,2.4381868778745585e-5
1,1,2,-3.353535353535354,-4.0,2.632506176046902e-5
1,1,2,-3.2727272727272725,-4.0,2.847418469744173e-5
1,1,2,-3.191919191919192,-4.0,3.0851147726564366e-5
1,1,2,-3.1111111111111107,-4.0,3.347918073586635e-5
1,1,2,-3.0303030303030303,-4.0,3.638163079810759e-5
1,1,2,-2.94949494949495,-4.0,3.9579737121058326e-5
1,1,2,-2.8686868686868685,-4.0,4.308937275653333e-5
1,1,2,-2.787878787878788,-4.0,4.691699450807974e-5
1,1,2,-2.7070707070707067,-4.0,5.105531201188438e-5
1,1,2,-2.6262626262626263,-4.0,5.5479410637093585e-5
1,1,2,-2.545454545454545,-4.0,6.014416859193966e-5
1,1,2,-2.4646464646464645,-4.0,6.498373230772062e-5
1,1,2,-2.383838383838384,-4.0,6.991352543172242e-5
1,1,2,-2.3030303030303028,-4.0,7.483479639291321e-5
1,1,2,-2.2222222222222223,-4.0,7.96411626821268e-5
1,1,2,-2.141414141414142,-4.0,8.422614824097984e-5
1,1,2,-2.0606060606060606,-4.0,8.849049706100474e-5
1,1,2,-1.9797979797979794,-4.0,9.234817233194413e-5
1,1,2,-1.8989898989898988,-4.0,9.573037849059841e-5
1,1,2,-1.8181818181818183,-4.0,9.858750731341066e-5
1,1,2,-1.7373737373737372,-4.0,0.00010088938613112068
1,1,2,-1.6565656565656566,-4.0,0.00010262442888199246
1,1,2,-1.575757575757576,-4.0,0.00010379823287093663
1,1,2,-1.4949494949494948,-4.0,0.00010443194127301236
1,1,2,-1.4141414141414137,-4.0,0.00010456047065013019
1,1,2,-1.3333333333333337,-4.0,0.00010423058578592126
1,1,2,-1.2525252525252526,-4.0,0.00010349877374213584
1,1,2,-1.1717171717171715,-4.0,0.00010242884023882192
1,1,2,-1.0909090909090908,-4.0,0.00010108908066919473
1,1,2,-1.0101010101010102,-4.0,9.95488291781825e-5
1,1,2,-0.9292929292929293,-4.0,9.787428990721421e-5
1,1,2,-0.8484848484848486,-4.0,9.612387217697192e-5
1,1,2,-0.767676767676768,-4.0,9.43436941708044e-5
1,1,2,-0.6868686868686869,-4.0,9.256425425953598e-5
1,1,2,-0.6060606060606057,-4.0,9.079925617275618e-5
1,1,2,-0.5252525252525251,-4.0,8.904712862457754e-5
1,1,2,-0.44444444444444464,-4.0,8.729504156552184e-5
1,1,2,-0.36363636363636354,-4.0,8.552448732958247e-5
1,1,2,-0.2828282828282829,-4.0,8.371706274556653e-5
1,1,2,-0.2020202020202022,-4.0,8.18591095908585e-5
1,1,2,-0.1212121212121211,-4.0,7.994430064698621e-5
1,1,2,-0.04040404040404,-4.0,7.797390724773575e-5
1,1,2,0.040404040404040664,-4.0,7.5955119832615e-5
1,1,2,0.1212121212121211,-4.0,7.389823244713339e-5
1,1,2,0.20202020202020243,-4.0,7.181365590546208e-5
1,1,2,0.2828282828282829,-4.0,6.970959911261215e-5
1,1,2,0.3636363636363633,-4.0,6.759093373602384e-5
1,1,2,0.44444444444444464,-4.0,6.545935314388968e-5
