"N","l","H0","H1","value"
200,1,"000","000",0.02
600,1,"000","000",0.02
1200,1,"000","100",0.01
200,2,"000","000",0.02
600,2,"000","000",0.02
1200,2,"000","000",0.02
200,3,"000","000",0.02
600,3,"000","000",0.02
1200,3,"000","000",0.02
200,1,"100","000",0.02
600,1,"100","000",0.02
1200,1,"100","000",0.02
200,2,"100","000",0.02
600,2,"100","100",0.01
1200,2,"100","100",0.02
200,3,"100","000",0.01
600,3,"100","100",0.01
1200,3,"100","100",0.02
200,1,"010","000",0.02
600,1,"010","010",0.02
1200,1,"010","010",0.02
200,2,"010","010",0.02
600,2,"010","010",0.01
1200,2,"010","010",0.02
200,3,"010","000",0.02
600,3,"010","010",0.02
1200,3,"010","010",0.02
200,1,"110","010",0.01
600,1,"110","010",0.02
1200,1,"110","010",0.02
200,2,"110","110",0.01
600,2,"110","010",0.01
1200,2,"110","110",0.02
200,3,"110","100",0.02
600,3,"110","100",0.01
1200,3,"110","110",0.02
200,1,"001","100",0.01
600,1,"001","011",0.01
1200,1,"001","001",0.02
200,2,"001","000",0.02
600,2,"001","001",0.02
1200,2,"001","001",0.02
200,3,"001","001",0.01
600,3,"001","001",0.02
1200,3,"001","001",0.02
200,1,"101","000",0.01
600,1,"101","001",0.02
1200,1,"101","001",0.02
200,2,"101","101",0.01
600,2,"101","101",0.02
1200,2,"101","101",0.02
200,3,"101","000",0.01
600,3,"101","101",0.02
1200,3,"101","101",0.02
200,1,"011","011",0.02
600,1,"011","011",0.01
1200,1,"011","011",0.02
200,2,"011","000",0.02
600,2,"011","011",0.02
1200,2,"011","011",0.02
200,3,"011","001",0.01
600,3,"011","011",0.02
1200,3,"011","011",0.02
200,1,"111","001",0.01
600,1,"111","011",0.02
1200,1,"111","011",0.02
200,2,"111","011",0.01
600,2,"111","111",0.02
1200,2,"111","111",0.02
200,3,"111","011",0.01
600,3,"111","111",0.02
1200,3,"111","111",0.02
1200,1,"000","000",0.01
600,2,"100","110",0.01
200,3,"100","100",0.01
600,3,"100","000",0.01
600,2,"010","000",0.01
200,1,"110","000",0.01
200,2,"110","000",0.01
600,2,"110","111",0.01
600,3,"110","110",0.01
200,1,"001","000",0.01
600,1,"001","001",0.01
200,3,"001","000",0.01
200,1,"101","001",0.01
200,2,"101","001",0.01
200,3,"101","001",0.01
600,1,"011","010",0.01
200,3,"011","010",0.01
200,1,"111","010",0.01
200,2,"111","111",0.01
200,3,"111","000",0.01
