"N","l","H0","H1","value"
200,1,"000","000",0.97
600,1,"000","000",0.93
1200,1,"000","000",0.95
200,2,"000","000",0.99
600,2,"000","001",0.01
1200,2,"000","000",0.95
200,3,"000","000",0.95
600,3,"000","000",0.94
1200,3,"000","000",0.95
200,1,"100","101",0.02
600,1,"100","100",0.99
1200,1,"100","100",0.96
200,2,"100","100",0.96
600,2,"100","100",0.95
1200,2,"100","101",0.01
200,3,"100","100",0.95
600,3,"100","100",0.99
1200,3,"100","100",0.95
200,1,"010","000",0.92
600,1,"010","000",0.94
1200,1,"010","000",0.93
200,2,"010","000",0.97
600,2,"010","000",0.93
1200,2,"010","000",0.95
200,3,"010","000",0.99
600,3,"010","000",0.95
1200,3,"010","000",0.98
200,1,"110","000",0.15
600,1,"110","100",0.98
1200,1,"110","100",0.97
200,2,"110","100",0.97
600,2,"110","100",0.99
1200,2,"110","100",0.98
200,3,"110","100",0.98
600,3,"110","100",0.97
1200,3,"110","100",0.96
200,1,"001","000",0.94
600,1,"001","000",0.97
1200,1,"001","000",0.97
200,2,"001","000",0.94
600,2,"001","000",0.92
1200,2,"001","000",0.94
200,3,"001","000",0.93
600,3,"001","000",0.96
1200,3,"001","000",0.96
200,1,"101","110",0.01
600,1,"101","100",0.96
1200,1,"101","100",0.99
200,2,"101","100",0.95
600,2,"101","100",0.99
1200,2,"101","100",0.98
200,3,"101","100",0.97
600,3,"101","100",0.96
1200,3,"101","100",0.96
200,1,"011","000",0.98
600,1,"011","000",0.96
1200,1,"011","000",0.95
200,2,"011","000",0.99
600,2,"011","000",0.96
1200,2,"011","000",0.98
200,3,"011","000",0.93
600,3,"011","000",0.96
1200,3,"011","000",0.95
200,1,"111","110",0.01
600,1,"111","100",0.94
1200,1,"111","100",0.97
200,2,"111","100",0.98
600,2,"111","100",0.94
1200,2,"111","100",0.97
200,3,"111","100",0.95
600,3,"111","100",0.98
1200,3,"111","100",0.98
600,2,"000","000",0.95
200,1,"100","100",0.84
200,2,"100","000",0.02
1200,2,"100","100",0.96
1200,1,"010","001",0.03
200,1,"110","100",0.85
200,2,"001","010",0.01
200,3,"001","010",0.01
200,1,"101","100",0.84
1200,3,"011","010",0.03
200,1,"111","000",0.13
200,1,"111","100",0.85
200,1,"100","000",0.14
200,1,"101","000",0.14
600,1,"010","001",0.02
200,2,"010","100",0.03
200,2,"001","001",0.03
600,2,"001","110",0.01
200,2,"101","110",0.03
200,3,"000","100",0.03
200,3,"100","101",0.03
200,1,"111","001",0.01
1200,3,"010","010",0.02
600,3,"110","101",0.02
1200,2,"001","010",0.02
600,3,"101","110",0.01
200,3,"011","010",0.03
1200,1,"000","100",0.04
1200,1,"010","100",0.04
200,1,"011","001",0.01
600,3,"010","010",0.02
600,3,"010","100",0.01
1200,1,"110","101",0.01
1200,3,"111","110",0.02
1200,1,"011","001",0.02
600,3,"111","101",0.02
200,3,"100","110",0.02
200,3,"011","001",0.02
1200,2,"011","001",0.01
600,2,"111","101",0.04
1200,1,"000","001",0.01
1200,1,"011","010",0.01
600,1,"011","001",0.01
600,3,"011","010",0.01
200,2,"110","110",0.02
1200,1,"110","110",0.02
1200,1,"101","110",0.01
1200,3,"000","011",0.01
1200,1,"001","010",0.02
600,2,"000","100",0.01
600,2,"010","001",0.02
1200,1,"011","100",0.02
200,1,"010","001",0.03
600,1,"010","011",0.01
200,3,"111","110",0.02
1200,2,"100","110",0.02
200,1,"001","100",0.03
200,3,"001","100",0.03
600,1,"011","010",0.02
600,3,"011","100",0.01
600,2,"101","101",0.01
200,3,"111","101",0.03
1200,3,"100","110",0.03
200,3,"010","010",0.01
1200,2,"101","101",0.02
1200,2,"000","010",0.04
1200,1,"111","110",0.02
600,3,"000","010",0.02
600,1,"010","010",0.02
200,3,"110","110",0.02
600,2,"011","001",0.02
1200,3,"000","001",0.03
200,1,"101","101",0.01
1200,3,"100","111",0.01
1200,3,"001","100",0.02
1200,1,"100","110",0.02
600,3,"011","001",0.02
200,1,"010","100",0.02
200,2,"000","001",0.01
600,1,"010","111",0.01
1200,3,"110","101",0.02
1200,3,"101","110",0.03
