Valle,Evalle,Cepa,Ecepa,Cosecha,Ecosecha,Dp (mg/L),Cy (mg/L),Pt (mg/L),Pe (mg/L),Mv (mg/L),Peac (mg/L),Mvac (mg/L),Pecu (mg/L),Mvcu (mg/L),logDp (mg/L),logCy (mg/L),logPt (mg/L),logPe (mg/L),logMv (mg/L),logPeac (mg/L),logMvac (mg/L),logPecu (mg/L),logMvcu (mg/L),log Dp %,log Cy %,log Pt %,log Pe %,log Mv %,log Peac %,log Mvac %,log Pecu %,log Mvcu %,F1(1),F1(2),F1(3),F2(1),F2(2),F2(3),F2(4),F3(1),F3(2),F3(3),F3(4),F3(5),F3(6),F3(7)
Aconcagua,1,Cs,1,2004,4,9.891225821,0.499663107,12.95855754,5.714427423,146.9200535,2.42274399,49.30156094,1.030952002,12.49806287,2.291648083,-0.693821194,2.561756384,1.742994104,4.989888585,0.88,3.897955743,0.030482649,2.525573662,1.411037392,-1.574431884,1.681145692,0.862383412,4.109277894,0.004290086,3.017345051,-0.850128042,1.64496297,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Cs,1,2004,4,12.25566868,0.622582094,15.58266033,7.296315706,183.6134298,3.077588224,67.66012222,1.325644073,16.41897266,2.505988579,-0.473879781,2.746158779,1.987369523,5.212832623,1.12,4.21449697,0.281898434,2.798437536,1.381536422,-1.598331939,1.621706621,0.862917365,4.088380465,-0.000305912,3.090044812,-0.842553724,1.673985378,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Cs,1,2004,4,9.217810386,0.24485537,13.95353222,3.768947866,190.68647,1.800910546,58.08201462,0.697390954,13.16824975,2.221137524,-1.407087569,2.635732682,1.326795882,5.250630561,0.59,4.061856057,-0.360409116,2.57780861,1.150855502,-2.477369591,1.56545066,0.25651386,4.180348539,-0.481989626,2.991574035,-1.430691137,1.507526588,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Cs,1,2004,4,12.66161484,0.649238716,17.28583928,6.251331193,208.7212542,3.17988658,80.35940351,1.518234309,22.82096033,2.538574963,-0.431954809,2.849887628,1.832794432,5.34099965,1.16,4.386509117,0.417548021,3.127679426,1.276009446,-1.694520325,1.58732211,0.570228915,4.078434132,-0.105719988,3.1239436,-0.845017497,1.865113909,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Cs,1,2004,4,14.92878466,0.686385798,17.33680364,6.404617299,181.4794074,2.398988387,56.78065956,1.066592426,14.94590535,2.703291206,-0.376315422,2.85283162,1.857019183,5.201142189,0.88,4.039195767,0.064468918,2.704437373,1.618006859,-1.461599768,1.767547273,0.771734836,4.115857843,-0.210237204,2.95391142,-1.020815429,1.619153026,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Mt,2,2004,4,21.5559148,5.074247373,17.47834998,13.85025594,59.65806343,2.886560795,15.22364986,1.534194593,4.86361467,3.070650248,1.624178213,2.860962971,2.628303712,4.088629318,1.06,2.722850131,0.428005548,1.581781921,2.719114527,1.272642492,2.50942725,2.276767991,3.737093598,0.708530036,2.371314409,0.076469827,1.2302462,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Mt,2,2004,4,35.52134121,11.39654592,27.37498947,28.62720033,78.18890781,5.007453747,17.53462975,2.955665877,6.212237622,3.570133677,2.43331032,3.309629803,3.354357326,4.359127794,1.61,2.864177768,1.083723965,1.826521157,2.814861956,1.678038599,2.554358083,2.599085606,3.603856073,0.855655831,2.108906048,0.328452244,1.071249436,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Mt,2,2004,4,32.49238716,6.890725161,29.15206955,25.3442761,119.9893411,4.965234561,29.88759019,3.394229779,11.73849652,3.481005821,1.930176328,3.372525907,3.23255291,4.787402915,1.60,3.39744335,1.222076866,2.462873741,2.51077876,0.959949267,2.402298846,2.262325849,3.817175854,0.632233479,2.42721629,0.251849805,1.492646681,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Mt,2,2004,4,23.2932322,3.85172985,24.34082295,18.72120739,109.9494006,5.051502447,31.843607,3.184837028,13.78306928,3.148162855,1.348522359,3.192154898,2.929656966,4.700020265,1.62,3.46083664,1.158401119,2.623440975,2.297928986,0.49828849,2.341921028,2.079423097,3.849786396,0.769451844,2.61060277,0.30816725,1.773207106,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Aconcagua,1,Mt,2,2004,4,28.69678736,3.760151227,29.30960892,18.74956251,131.9156131,4.79624552,31.54956532,4.301018164,17.77091307,3.356785178,1.324459177,3.377915412,2.931170419,4.882162423,1.57,3.451559811,1.458851777,2.877563024,2.360392176,0.328066175,2.38152241,1.934777418,3.885769422,0.571440427,2.45516681,0.462458775,1.881170022,0,1,0,0,0,0,1,1,0,0,0,0,0,0
