j,var1,var2,y1,y2,f
1,1,2,-4.0,-4.0,1.4431193074255991e-5
1,1,2,-3.9191919191919196,-4.0,1.54790838035452e-5
1,1,2,-3.8383838383838382,-4.0,1.6617890855630818e-5
1,1,2,-3.757575757575758,-4.0,1.7857176216297056e-5
1,1,2,-3.6767676767676765,-4.0,1.92075214097163e-5
1,1,2,-3.595959595959596,-4.0,2.0680665152054934e-5
1,1,2,-3.5151515151515156,-4.0,2.2289791871481208e-5
1,1,2,-3.4343434343434343,-4.0,2.4049976895459247e-5
1,1,2,-3.353535353535354,-4.0,2.5978711001764582e-5
1,1,2,-3.2727272727272725,-4.0,2.8096327369289686e-5
1,1,2,-3.191919191919192,-4.0,3.0426067986849504e-5
1,1,2,-3.1111111111111107,-4.0,3.299348857735277e-5
1,1,2,-3.0303030303030303,-4.0,3.5824938269834496e-5
1,1,2,-2.94949494949495,-4.0,3.8944973282048656e-5
1,1,2,-2.8686868686868685,-4.0,4.237276252854603e-5
1,1,2,-2.787878787878788,-4.0,4.611778715184259e-5
1,1,2,-2.7070707070707067,-4.0,5.017537943300816e-5
1,1,2,-2.6262626262626263,-4.0,5.4522832667629465e-5
1,1,2,-2.545454545454545,-4.0,5.911688223388529e-5
1,1,2,-2.4646464646464645,-4.0,6.389325835659909e-5
1,1,2,-2.383838383838384,-4.0,6.876872177166415e-5
1,1,2,-2.3030303030303028,-4.0,7.364554620813724e-5
1,1,2,-2.2222222222222223,-4.0,7.841790308970555e-5
1,1,2,-2.141414141414142,-4.0,8.297918145448507e-5
1,1,2,-2.0606060606060606,-4.0,8.722908957086776e-5
1,1,2,-1.9797979797979794,-4.0,9.107951832952863e-5
1,1,2,-1.8989898989898988,-4.0,9.445856492056249e-5
1,1,2,-1.8181818181818183,-4.0,9.731266101012223e-5
1,1,2,-1.7373737373737372,-4.0,9.960720642583432e-5
1,1,2,-1.6565656565656566,-4.0,0.00010132630676255955
1,1,2,-1.575757575757576,-4.0,0.000102472112880357
1,1,2,-1.4949494949494948,-4.0,0.00010306396815726288
1,1,2,-1.4141414141414137,-4.0,0.00010313726502780742
1,1,2,-1.3333333333333337,-4.0,0.0001027417417885642
1,1,2,-1.2525252525252526,-4.0,0.00010193895779122761
1,1,2,-1.1717171717171715,-4.0,0.00010079882186299694
1,1,2,-1.0909090909090908,-4.0,9.939524018571174e-5
1,1,2,-1.0101010101010102,-4.0,9.780115112709659e-5
1,1,2,-0.9292929292929293,-4.0,9.608341419895706e-5
1,1,2,-0.8484848484848486,-4.0,9.429819993295349e-5
1,1,2,-0.767676767676768,-4.0,9.248762736533127e-5
1,1,2,-0.6868686868686869,-4.0,9.067832832658149e-5
1,1,2,-0.6060606060606057,-4.0,8.888232432479564e-5
1,1,2,-0.5252525252525251,-4.0,8.710011227412124e-5
1,1,2,-0.44444444444444464,-4.0,8.532530250799077e-5
1,1,2,-0.36363636363636354,-4.0,8.354972625498509e-5
1,1,2,-0.2828282828282829,-4.0,8.176779345480267e-5
1,1,2,-0.2020202020202022,-4.0,7.997909847970715e-5
1,1,2,-0.1212121212121211,-4.0,7.818877766878491e-5
1,1,2,-0.04040404040404,-4.0,7.64057584283384e-5
1,1,2,0.040404040404040664,-4.0,7.463961084447446e-5
1,1,2,0.1212121212121211,-4.0,7.289705588711235e-5
