x1,x2,x3,x4,x5,x6,x7,x8
-580.423121716278,-541.8490830692105,-556.332907241567,-524.6289901251062,-526.915465429887,-497.6887649812189,-507.3760446051906,-471.1869843088698
-590.5851316152734,-554.7236227217863,-559.310142045276,-541.4071857157635,-539.5328583660028,-509.33955774202684,-517.649771440408,-486.111511991295
-594.4826778274319,-571.2340883082034,-571.6981819213223,-552.7199593593214,-546.575184561682,-530.5229659202937,-542.7524642695379,-506.73080670749823
-592.9604314378591,-559.6295563510844,-569.7943962376332,-549.4783289127018,-540.2477805490166,-518.1995425848039,-521.9902138802862,-500.44113527634636
-604.3690628871705,-577.9446366902434,-588.7417714173722,-556.5642600325384,-551.5752316807063,-540.0639830035732,-535.5395546887258,-522.2477435215482
-598.894995500105,-570.3694559805474,-587.9426159217835,-561.9281114797818,-546.7690860739743,-521.5136945597677,-537.7854953874586,-512.6767575826983
-591.6321816238035,-561.9644871883783,-571.8890440979823,-541.5152714759239,-548.1140396882251,-521.6447181117544,-528.0537982778006,-499.5360661235586
-591.7279917537502,-558.2467505046387,-569.170866918016,-546.63410279852,-535.2652116474336,-520.1417087457191,-524.3382700343873,-497.96140649818034
-591.7443171246907,-563.9650138132356,-568.6913112818302,-549.4865232484426,-537.8929811420696,-516.3488590368804,-528.6684796665788,-495.95024968250766
-577.9296653613615,-544.2547820571456,-559.1232365711512,-530.2095829773202,-531.0244553065603,-504.2243175887457,-513.4613339312461,-483.28715651786524
-597.9584901326787,-566.9366862699761,-577.0686392165373,-560.7980331227214,-543.5461558643451,-527.8769314361836,-532.6827802506624,-509.9370894284076
-591.7023666765941,-556.9847851228018,-570.8247761753604,-548.730505211894,-538.8769738588226,-513.7384794503171,-525.5205061477473,-492.0051290742187
-600.9059684430521,-578.7529832003904,-590.3625633767566,-562.635361353794,-556.5646422719009,-537.0359046020167,-550.0850441666565,-529.5491841318507
-597.1266547079141,-561.2295391312605,-577.7441430515352,-549.819314719124,-542.5261352215653,-518.3503899615824,-530.6338535708755,-491.10820684111013
-596.2456777572556,-561.9667631453767,-583.9008903660615,-555.5352370416132,-548.239299828221,-531.3154985387403,-540.8654028035495,-500.5365714334658
-603.1444083327377,-567.7613380163128,-580.7342441040689,-566.1252675222173,-546.9338789884398,-522.2708637068605,-533.7571490566502,-514.4020876627875
-588.3195178451317,-553.7432394302058,-568.2967651853311,-541.0664208165306,-539.9050209630933,-514.111516733411,-523.7079046370011,-489.0374667837437
