j,var1,var2,y1,y2,f
1,1,2,-4.0,-4.0,4.851488841582677e-6
1,1,2,-3.9191919191919196,-4.0,5.10317505209058e-6
1,1,2,-3.8383838383838382,-4.0,5.365597331164433e-6
1,1,2,-3.757575757575758,-4.0,5.650014907506982e-6
1,1,2,-3.6767676767676765,-4.0,5.971541851637883e-6
1,1,2,-3.595959595959596,-4.0,6.348515270588863e-6
1,1,2,-3.5151515151515156,-4.0,6.801940477122044e-6
1,1,2,-3.4343434343434343,-4.0,7.355259121459243e-6
1,1,2,-3.353535353535354,-4.0,8.034364502409106e-6
1,1,2,-3.2727272727272725,-4.0,8.867204916511034e-6
1,1,2,-3.191919191919192,-4.0,9.881685792420948e-6
1,1,2,-3.1111111111111107,-4.0,1.1100521368484742e-5
1,1,2,-3.0303030303030303,-4.0,1.2532984157935281e-5
1,1,2,-2.94949494949495,-4.0,1.4166211040136136e-5
1,1,2,-2.8686868686868685,-4.0,1.5961225437367398e-5
1,1,2,-2.787878787878788,-4.0,1.785834964890978e-5
1,1,2,-2.7070707070707067,-4.0,1.979189246370881e-5
1,1,2,-2.6262626262626263,-4.0,2.1707522432506243e-5
1,1,2,-2.545454545454545,-4.0,2.3572931003567338e-5
1,1,2,-2.4646464646464645,-4.0,2.5376373751386078e-5
1,1,2,-2.383838383838384,-4.0,2.7115660222605824e-5
1,1,2,-2.3030303030303028,-4.0,2.878572857566939e-5
1,1,2,-2.2222222222222223,-4.0,3.0372194332248074e-5
1,1,2,-2.141414141414142,-4.0,3.185300594307006e-5
1,1,2,-2.0606060606060606,-4.0,3.320527898618136e-5
1,1,2,-1.9797979797979794,-4.0,3.441240820917848e-5
1,1,2,-1.8989898989898988,-4.0,3.546734488459763e-5
1,1,2,-1.8181818181818183,-4.0,3.637001026427698e-5
1,1,2,-1.7373737373737372,-4.0,3.711950026050314e-5
1,1,2,-1.6565656565656566,-4.0,3.770469377265616e-5
1,1,2,-1.575757575757576,-4.0,3.809887776092786e-5
1,1,2,-1.4949494949494948,-4.0,3.826317535213941e-5
1,1,2,-1.4141414141414137,-4.0,3.815932803024904e-5
1,1,2,-1.3333333333333337,-4.0,3.776684561009657e-5
1,1,2,-1.2525252525252526,-4.0,3.7096406674211096e-5
1,1,2,-1.1717171717171715,-4.0,3.619303445306576e-5
1,1,2,-1.0909090909090908,-4.0,3.512794307524303e-5
1,1,2,-1.0101010101010102,-4.0,3.3983420664191425e-5
1,1,2,-0.9292929292929293,-4.0,3.283741647277767e-5
1,1,2,-0.8484848484848486,-4.0,3.175300398691803e-5
1,1,2,-0.767676767676768,-4.0,3.077444736491639e-5
1,1,2,-0.6868686868686869,-4.0,2.992856659383748e-5
1,1,2,-0.6060606060606057,-4.0,2.9228675503488495e-5
1,1,2,-0.5252525252525251,-4.0,2.8678424129123846e-5
1,1,2,-0.44444444444444464,-4.0,2.8273848023706472e-5
1,1,2,-0.36363636363636354,-4.0,2.800348326093109e-5
1,1,2,-0.2828282828282829,-4.0,2.784813257264577e-5
1,1,2,-0.2020202020202022,-4.0,2.7782632872283248e-5
1,1,2,-0.1212121212121211,-4.0,2.7780554652575935e-5
1,1,2,-0.04040404040404,-4.0,2.7819769003104565e-5
1,1,2,0.040404040404040664,-4.0,2.7885131244907596e-5
1,1,2,0.1212121212121211,-4.0,2.7966355595569415e-5
1,1,2,0.20202020202020243,-4.0,2.805294302634257e-5
1,1,2,0.2828282828282829,-4.0,2.8129981759263574e-5
1,1,2,0.3636363636363633,-4.0,2.817723474664563e-5
1,1,2,0.44444444444444464,-4.0,2.8171245879528945e-5
1,1,2,0.5252525252525251,-4.0,2.8088823155526776e-5
1,1,2,0.6060606060606064,-4.0,2.7910533725102433e-5
1,1,2,0.6868686868686869,-4.0,2.7623554640557098e-5
1,1,2,0.7676767676767673,-4.0,2.72235562604547e-5
1,1,2,0.8484848484848486,-4.0,2.671537494264714e-5
1,1,2,0.9292929292929291,-4.0,2.611237946285461e-5
1,1,2,1.0101010101010104,-4.0,2.543466169455169e-5
1,1,2,1.0909090909090908,-4.0,2.47063321154172e-5
1,1,2,1.1717171717171722,-4.0,2.3952244059782116e-5
1,1,2,1.2525252525252526,-4.0,2.319452078483689e-5
1,1,2,1.333333333333333,-4.0,2.2449392904020725e-5
1,1,2,1.4141414141414144,-4.0,2.1724986650872305e-5
1,1,2,1.4949494949494948,-4.0,2.1020655103045756e-5
1,1,2,1.5757575757575761,-4.0,2.0328111499640242e-5
1,1,2,1.6565656565656566,-4.0,1.963409884444709e-5
1,1,2,1.737373737373737,-4.0,1.8923865129875468e-5
1,1,2,1.8181818181818183,-4.0,1.8184556300418143e-5
1,1,2,1.8989898989898988,-4.0,1.7407860211029755e-5
1,1,2,1.9797979797979801,-4.0,1.6591669689584797e-5
1,1,2,2.0606060606060606,-4.0,1.5740887440000102e-5
1,1,2,2.141414141414141,-4.0,1.4867556662452397e-5
1,1,2,2.2222222222222223,-4.0,1.3990300896101082e-5
1,1,2,2.3030303030303028,-4.0,1.313285165248336e-5
1,1,2,2.383838383838384,-4.0,1.2321504615180022e-5
1,1,2,2.4646464646464645,-4.0,1.1581723585869072e-5
1,1,2,2.545454545454546,-4.0,1.0934573699422303e-5
1,1,2,2.6262626262626263,-4.0,1.0393877643110486e-5
1,1,2,2.7070707070707067,-4.0,9.964779721043053e-6
1,1,2,2.787878787878788,-4.0,9.64388932751971e-6
1,1,2,2.8686868686868685,-4.0,9.420656082601986e-6
1,1,2,2.94949494949495,-4.0,9.279359510131368e-6
1,1,2,3.0303030303030303,-4.0,9.20113828921582e-6
1,1,2,3.1111111111111107,-4.0,9.165718805097857e-6
1,1,2,3.191919191919192,-4.0,9.15275486535258e-6
1,1,2,3.2727272727272725,-4.0,9.142845113460747e-6
1,1,2,3.353535353535354,-4.0,9.118333365248043e-6
1,1,2,3.4343434343434343,-4.0,9.063963969583667e-6
1,1,2,3.5151515151515156,-4.0,8.967413792094516e-6
1,1,2,3.595959595959596,-4.0,8.819687581489291e-6
1,1,2,3.6767676767676765,-4.0,8.615352086114043e-6
1,1,2,3.757575757575758,-4.0,8.352589779392708e-6
1,1,2,3.8383838383838382,-4.0,8.03306599463888e-6
1,1,2,3.9191919191919196,-4.0,7.661617189070801e-6
1,1,2,4.0,-4.0,7.24578020299419e-6
1,1,2,-4.0,-3.9191919191919196,5.155729284593889e-6
1,1,2,-3.9191919191919196,-3.9191919191919196,5.447297620286771e-6
1,1,2,-3.8383838383838382,-3.9191919191919196,5.7504510383083715e-6
1,1,2,-3.757575757575758,-3.9191919191919196,6.074958105033795e-6
1,1,2,-3.6767676767676765,-3.9191919191919196,6.435251362244598e-6
1,1,2,-3.595959595959596,-3.9191919191919196,6.850012267761306e-6
1,1,2,-3.5151515151515156,-3.9191919191919196,7.3415707858448895e-6
1,1,2,-3.4343434343434343,-3.9191919191919196,7.935440428297232e-6
1,1,2,-3.353535353535354,-3.9191919191919196,8.660140926219411e-6
1,1,2,-3.2727272727272725,-3.9191919191919196,9.546998480053575e-6
1,1,2,-3.191919191919192,-3.9191919191919196,1.0628915743516588e-5
1,1,2,-3.1111111111111107,-3.9191919191919196,1.1936581953978412e-5
1,1,2,-3.0303030303030303,-3.9191919191919196,1.3491065214227183e-5
1,1,2,-2.94949494949495,-3.9191919191919196,1.5293858461748256e-5
1,1,2,-2.8686868686868685,-3.9191919191919196,1.7318608338735586e-5
1,1,2,-2.787878787878788,-3.9191919191919196,1.9510465483924844e-5
1,1,2,-2.7070707070707067,-3.9191919191919196,2.1796502964570155e-5
1,1,2,-2.6262626262626263,-3.9191919191919196,2.410412620426682e-5
